常一线产率,常二线产率,常三线产率
0.115,0.15,0.04
0.106,0.161,0.053
0.112,0.162,0.049
0.114,0.151,0.05
0.125,0.148,0.037
0.118,0.15,0.032
0.114,0.144,0.051
0.116,0.15,0.039
0.117,0.155,0.062
0.108,0.16,0.049
0.126,0.142,0.035
0.121,0.155,0.036
0.106,0.159,0.055
0.119,0.156,0.058
0.125,0.142,0.035
0.114,0.153,0.053
0.121,0.143,0.033
0.098,0.159,0.065
0.115,0.163,0.052
0.124,0.147,0.039
0.118,0.153,0.05
0.114,0.14,0.048
0.115,0.151,0.062
0.121,0.149,0.054
0.105,0.163,0.052
0.111,0.159,0.048
0.122,0.154,0.046
0.127,0.141,0.033
0.104,0.163,0.06
0.116,0.145,0.05
0.101,0.157,0.045
0.121,0.147,0.035
0.108,0.152,0.052
0.107,0.152,0.051
0.104,0.158,0.055
0.107,0.16,0.043
0.108,0.158,0.053
0.123,0.145,0.053
0.111,0.154,0.053
0.106,0.161,0.058
0.12,0.143,0.05
0.108,0.16,0.052
0.12,0.14,0.036
0.102,0.164,0.066
0.111,0.156,0.052
0.113,0.151,0.048
0.122,0.142,0.052
0.11,0.162,0.052
0.116,0.141,0.053
0.116,0.155,0.06
0.123,0.152,0.036
0.109,0.157,0.054
0.128,0.153,0.06
0.115,0.157,0.055
0.111,0.16,0.046
0.12,0.147,0.035
0.122,0.15,0.037
0.124,0.149,0.032
0.113,0.151,0.059
0.114,0.153,0.037
0.113,0.157,0.032
0.127,0.152,0.063
0.127,0.153,0.063
0.119,0.163,0.051
0.121,0.145,0.05
0.124,0.148,0.035
0.112,0.154,0.034
0.109,0.151,0.038
0.097,0.159,0.062
0.123,0.143,0.033
0.113,0.159,0.046
0.113,0.164,0.057
0.118,0.153,0.063
0.118,0.154,0.039
0.123,0.146,0.031
0.116,0.161,0.052
0.114,0.156,0.043
0.116,0.144,0.052
0.115,0.152,0.033
0.101,0.162,0.04
0.105,0.159,0.057
0.105,0.163,0.052
0.127,0.145,0.033
0.121,0.141,0.05
0.111,0.161,0.056
0.113,0.158,0.057
0.114,0.153,0.058
0.115,0.156,0.051
0.105,0.163,0.052
0.114,0.156,0.051
