StripChart:,HMI,
Date:, Tue Feb 28 20:42:02 2023
,
Number of Data Variables =, 20,
Max Number of Data Points =, 10000,
Number of Data Points =, 244,
Time Interval,         1, to ,      4861,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],
        1041,     115.203,     211.793,      282.33,     318.648,     360.016,     78086.1,      120034,     49999.8,     39999.8,     173.488,     161.854,     265.674,     67.0911,     326.741,     369.217,      203500,     27999.8,     31999.9,     10999.9,      159.66,
        1061,     115.203,     211.793,     282.328,     318.645,     360.015,     78085.4,      120034,     49999.8,     39999.8,     173.488,     161.854,     265.674,     67.0911,     326.741,     369.217,      203500,     27999.8,     31999.9,     10999.9,     159.659,
        1081,     115.204,     211.793,     282.325,     318.642,     360.015,     78084.7,      120034,     49999.8,     39999.8,     173.488,     161.854,     265.674,     67.0911,     326.724,     369.207,      203500,     27999.8,     31999.9,     10999.9,     159.658,
        1101,     115.204,     211.792,     282.323,     318.639,     360.014,       78084,      120033,     49999.8,     39999.8,     173.494,     161.854,     265.672,     67.0919,     326.724,     369.207,      203500,     27999.8,     31999.9,     10999.9,     159.658,
        1121,     115.204,     211.792,     282.321,     318.636,     360.014,     78083.4,      120033,     49999.8,     39999.8,     173.494,     161.854,     265.672,     67.0919,     326.724,     369.207,      203500,     27999.8,     31999.9,     10999.9,     159.657,
        1141,     115.204,     211.791,     282.318,     318.633,     360.013,     78082.8,      120033,     49999.8,     39999.8,     173.494,     161.854,     265.672,     67.0919,     326.708,     369.195,      203500,     27999.8,     31999.9,     10999.9,     159.656,
        1161,     115.205,     211.791,     282.316,      318.63,     360.013,     78082.2,      120033,     49999.8,     39999.8,     173.499,     161.855,      265.67,     67.0926,     326.708,     369.195,      203500,     27999.8,     31999.9,     10999.9,     159.656,
        1181,     115.205,     211.791,     282.314,     318.627,     360.012,     78081.6,      120033,     49999.8,     39999.8,     173.499,     161.855,      265.67,     67.0926,     326.708,     369.195,      203501,     27999.8,     31999.9,     10999.9,     159.655,
        1201,     115.205,      211.79,     282.312,     318.624,     360.012,       78081,      120032,     49999.8,     39999.8,     173.499,     161.855,      265.67,     67.0926,      326.69,     369.182,      203501,     27999.8,     31999.9,     10999.9,     159.655,
        1221,     115.205,      211.79,      282.31,     318.621,     360.012,     78080.5,      120032,     49999.8,     39999.8,     173.504,     161.855,     265.668,     67.0933,      326.69,     369.182,      203501,     27999.8,     31999.9,     10999.9,     159.654,
