StripChart:,Data,
Date:, Tue Feb 14 15:14:22 2023
,
Number of Data Variables =, 13,
Max Number of Data Points =, 100000,
Number of Data Points =, 14918,
Time Interval,         1, to ,    895021,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,Naptha Cut Point - Research Octane Number (Naptha),Diesel Centane Index - Cetane Index (DieselMix),HMI - G8:,HMI - G10:,HMI - G11:,HMI - G13:,HMI - G14:,HMI - G15:,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),
[seconds],[],[],[],[],[],[],[],[],[C],[C],[C],[C],[C],
        5821,     60.2735,     46.8294,     17.5497,     13.3204,     16.5122,     99.1489,    0.425532,    0.425531,     172.046,     159.448,     267.579,     322.199,     358.608,
        5881,     60.2745,      46.831,     17.5209,     13.3204,     16.5123,     99.1489,    0.425532,    0.425531,     172.087,     159.475,      267.67,     322.288,     358.693,
        5941,     60.2756,     46.8324,     17.4937,     13.3204,     16.5122,     99.1489,    0.425532,    0.425531,     172.127,     159.499,     267.756,     322.375,     358.782,
        6001,     60.2767,     46.8336,      17.468,     13.3204,     16.5122,     99.1489,    0.425532,    0.425531,     172.167,     159.522,     267.839,      322.46,     358.876,
        6061,     60.2778,     46.8347,     17.4439,     13.3203,     16.5121,     99.1489,    0.425532,    0.425531,     172.206,     159.543,     267.918,     322.544,     358.973,
        6121,      60.279,     46.8355,     17.4214,     13.3203,      16.512,     99.1489,    0.425532,    0.425531,     172.245,     159.563,     267.993,     322.627,     359.073,
        6181,     60.2803,     46.8362,     17.4004,     13.3202,     16.5119,     99.1489,    0.425532,    0.425531,     172.283,     159.582,     268.065,     322.708,     359.175,
        6241,     60.2815,     46.8367,      17.381,     13.3201,     16.5118,     99.1489,    0.425532,    0.425531,      172.32,     159.599,     268.133,     322.788,      359.28,
        6301,     60.2782,     46.8371,      17.363,       13.32,     16.5117,     99.1489,    0.425532,    0.425531,     172.356,     159.615,     268.198,     322.867,     359.386,
        6361,     60.2796,     46.8374,     17.3467,     13.3199,     16.5116,     99.1489,    0.425532,    0.425531,     172.392,      159.63,     268.259,     322.945,     359.494,
