StripChart:,HMI,
Date:, Tue Feb 28 23:12:42 2023
,
Number of Data Variables =, 20,
Max Number of Data Points =, 10000,
Number of Data Points =, 2104,
Time Interval,         1, to ,     42061,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],
         941,     116.957,     199.978,     268.558,     302.227,      360.37,      120405,      118305,       49993,     39996.5,     156.746,     143.347,     235.665,     48.9579,     292.394,     322.495,      234793,     25002.5,     36188.6,     11001.6,       217.4,
         961,     116.959,     199.957,     268.529,     302.202,     360.368,      120426,      118305,     49993.1,     39996.8,     156.746,     143.347,     235.665,     48.9579,     292.282,     322.409,      234792,     25002.4,     36593.3,     11001.5,     217.418,
         981,     116.962,     199.935,     268.503,     302.179,     360.364,      120447,      118304,     49993.2,       39997,     156.742,     143.295,     235.518,     48.9138,     292.282,     322.409,      234781,     25002.4,     36907.1,     11001.5,     217.437,
        1001,     116.964,     199.914,     268.479,     302.158,     360.359,      120467,      118303,     49993.3,     39997.2,     156.742,     143.295,     235.518,     48.9138,     292.282,     322.409,      234759,     25002.4,     37150.7,     11001.5,     217.457,
        1021,     116.967,     199.893,     268.458,     302.138,     360.352,      120487,      118302,     49993.5,     39997.4,     156.742,     143.295,     235.518,     48.9138,     292.165,     322.315,      234727,     25002.4,     37339.9,     11001.5,     217.477,
        1041,      116.97,     199.871,      268.44,      302.12,     360.345,      120507,      118301,     49993.6,     39997.4,     156.738,     143.242,     235.378,     48.8712,     292.165,     322.315,      234686,     25002.5,     37486.9,     11001.5,     217.499,
        1061,     116.973,     199.851,     268.424,     302.105,     360.338,      120527,      118300,     49993.7,     39997.3,     156.738,     143.242,     235.378,     48.8712,     292.165,     322.315,      234640,     25002.6,     37601.2,     11001.5,     217.521,
        1081,     116.976,      199.83,      268.41,     302.091,     360.333,      120547,      118300,     49993.9,     39997.1,     156.738,     143.242,     235.378,     48.8712,     292.043,     322.215,      234589,     25002.6,     37690.1,     11001.5,     217.544,
        1101,     116.979,     199.809,     268.399,      302.08,     360.329,      120568,      118299,       49994,     39996.9,     156.733,      143.19,     235.247,     48.8301,     292.043,     322.215,      234538,     25002.7,     37759.3,     11001.5,     217.567,
        1121,     116.983,     199.789,     268.389,     302.071,     360.325,      120589,      118298,     49994.1,     39996.6,     156.733,      143.19,     235.247,     48.8301,     292.043,     322.215,      234487,     25002.8,     37813.1,     11001.5,     217.592,
        1141,     116.986,     199.768,     268.383,     302.065,     360.322,      120610,      118297,     49994.2,     39996.3,     156.733,      143.19,     235.247,     48.8301,     291.918,     322.109,      234439,     25002.9,     37854.9,     11001.6,     217.617,
        1161,      116.99,     199.747,     268.378,     302.061,     360.323,      120632,      118295,     49994.3,       39996,     156.729,     143.137,     235.123,       48.79,     291.918,     322.109,      234396,       25003,     37887.4,     11001.6,     217.643,
        1181,     116.993,     199.727,     268.375,     302.059,      360.33,      120654,      118294,     49994.3,     39995.7,     156.729,     143.137,     235.123,       48.79,     291.918,     322.109,      234358,     25003.1,     37912.7,     11001.6,     217.669,
        1201,     116.996,     199.707,     268.374,      302.06,     360.333,      120676,      118293,     49994.4,     39995.5,     156.729,     143.137,     235.123,       48.79,     291.791,     321.998,      234328,     25003.2,     37932.4,     11001.6,     217.695,
        1221,     116.999,     199.686,     268.376,     302.063,     360.339,      120698,      118292,     49994.5,     39995.3,     156.724,     143.083,     235.007,     48.7509,     291.791,     321.998,      234304,     25003.3,     37947.6,     11001.7,     217.722,
        1241,     117.002,     199.666,     268.379,     302.069,     360.348,      120721,      118291,     49994.6,     39995.1,     156.724,     143.083,     235.007,     48.7509,     291.791,     321.998,      234288,     25003.3,     37959.5,     11001.7,     217.748,
        1261,     117.005,     199.646,     268.384,     302.077,     360.358,      120743,      118290,     49994.7,     39994.9,     156.724,     143.083,     235.007,     48.7509,     291.663,     321.886,      234280,     25003.4,     37968.6,     11001.7,     217.775,
        1281,     117.007,     199.625,      268.39,     302.088,     360.372,      120765,      118289,     49994.8,     39994.8,     156.718,     143.029,     234.897,     48.7125,     291.663,     321.886,      234277,     25003.4,     37975.7,     11001.7,     217.801,
        1301,     117.009,     199.605,     268.398,       302.1,     360.386,      120787,      118288,     49994.9,     39994.8,     156.718,     143.029,     234.897,     48.7125,     291.663,     321.886,      234281,     25003.4,     37981.1,     11001.7,     217.826,
        1321,     117.011,     199.585,     268.407,     302.114,     360.397,      120808,      118287,       49995,     39994.8,     156.718,     143.029,     234.897,     48.7125,     291.535,     321.772,      234292,     25003.4,     37985.3,     11001.7,     217.851,
        1341,     117.012,     199.564,     268.418,     302.129,     360.409,      120829,      118286,     49995.2,     39994.8,     156.713,     142.976,     234.795,     48.6743,     291.535,     321.772,      234307,     25003.3,     37988.5,     11001.7,     217.876,
        1361,     117.013,     199.544,      268.43,     302.146,     360.418,      120850,      118285,     49995.4,     39994.9,     156.713,     142.976,     234.795,     48.6743,     291.535,     321.772,      234328,     25003.3,     37990.9,     11001.7,       217.9,
        1381,     117.013,     199.523,     268.442,     302.164,     360.428,      120869,      118284,     49995.6,       39995,     156.713,     142.976,     234.795,     48.6743,     291.411,     321.659,      234352,     25003.2,     37992.7,     11001.6,     217.923,
        1401,     117.013,     199.503,     268.456,     302.184,     360.438,      120888,      118283,     49995.8,     39995.2,     156.707,     142.925,     234.698,     48.6363,     291.411,     321.659,      234381,     25003.1,       37994,     11001.6,     217.945,
        1421,     117.013,     199.482,      268.47,     302.204,     360.446,      120905,      118282,     49996.1,     39995.4,     156.707,     142.925,     234.698,     48.6363,     291.411,     321.659,      234411,     25003.1,       37995,     11001.6,     217.966,
        1441,     117.012,      199.46,     268.485,     302.225,     360.452,      120922,      118281,     49996.3,     39995.6,     156.707,     142.925,     234.698,     48.6363,     291.291,     321.548,      234444,       25003,     37995.7,     11001.5,     217.987,
        1461,     117.011,     199.439,       268.5,     302.248,     360.456,      120937,      118280,     49996.7,     39995.8,     156.701,     142.875,     234.606,     48.5984,     291.291,     321.548,      234480,     25002.8,     37996.2,     11001.5,     218.006,
        1481,     117.009,     199.417,     268.516,      302.27,     360.459,      120952,      118280,       49997,     39996.1,     156.701,     142.875,     234.606,     48.5984,     291.291,     321.548,      234512,     25002.7,     37996.5,     11001.4,     218.024,
        1501,     117.007,     199.395,     268.533,     302.293,     360.461,      120965,      118279,     49997.4,     39996.4,     156.701,     142.875,     234.606,     48.5984,     291.179,     321.441,      234550,     25002.6,     37996.5,     11001.3,     218.042,
        1521,     117.004,     199.373,     268.549,     302.317,     360.461,      120976,      118278,     49997.7,     39996.7,     156.694,     142.827,     234.519,     48.5606,     291.179,     321.441,      234588,     25002.4,     37996.6,     11001.3,     218.058,
        1541,     117.001,      199.35,     268.566,     302.341,     360.458,      120987,      118278,     49998.1,       39997,     156.694,     142.827,     234.519,     48.5606,     291.179,     321.441,      234626,     25002.3,     37996.7,     11001.2,     218.073,
        1561,     116.998,     199.327,     268.584,     302.366,     360.454,      120995,      118277,     49998.6,     39997.4,     156.694,     142.827,     234.519,     48.5606,     291.075,     323.672,      234663,     25002.2,     37996.6,     11001.1,     218.087,
        1581,     116.994,     199.303,     268.601,      302.39,     360.449,      121003,      118277,       49999,     39997.7,     156.687,     142.781,     234.437,     48.5228,     291.075,     323.672,      234699,       25002,     37996.5,     11001.1,       218.1,
        1601,      116.99,     199.279,     268.618,     302.415,     360.442,      121009,      118276,     49999.5,     39998.1,     156.687,     142.781,     234.437,     48.5228,     291.075,     323.672,      234735,     25001.9,     37996.4,       11001,     218.112,
        1621,     116.986,     199.255,     268.636,     302.441,     360.433,      121014,      118276,     49999.9,     39998.4,     156.687,     142.781,     234.437,     48.5228,     290.983,     323.584,      234770,     25001.7,     37996.3,     11000.9,     218.123,
        1641,     116.981,      199.23,     268.654,     302.466,     360.423,      121017,      118275,     50000.4,     39998.8,     156.679,     142.735,     234.359,     48.4851,     290.983,     323.584,      234804,     25001.6,     37996.1,     11000.8,     218.133,
        1661,     116.976,     199.205,     268.671,     302.492,     360.409,      121018,      118275,     50000.9,     39999.1,     156.679,     142.735,     234.359,     48.4851,     290.983,     323.584,      234837,     25001.4,     37995.9,     11000.7,     218.142,
        1681,     116.971,      199.18,     268.689,     302.518,     360.396,      121019,      118275,     50001.3,     39999.4,     156.679,     142.735,     234.359,     48.4851,     290.903,     323.503,      234869,     25001.2,     37995.8,     11000.7,     218.149,
        1701,     116.966,     199.154,     268.707,     302.544,     360.382,      121018,      118275,     50001.8,     39999.8,      156.67,     142.689,     234.284,     48.4473,     290.903,     323.503,      234899,     25001.1,     37995.6,     11000.6,     218.156,
        1721,      116.96,     199.128,     268.725,      302.57,     360.367,      121016,      118274,     50002.3,     40000.1,      156.67,     142.689,     234.284,     48.4473,     290.903,     323.503,      234928,     25000.9,     37995.4,     11000.5,     218.162,
        1741,     116.954,     199.101,     268.743,     302.597,     360.351,      121012,      118274,     50002.8,     40000.4,      156.67,     142.689,     234.284,     48.4473,     290.838,     323.432,      234956,     25000.8,     37995.3,     11000.4,     218.167,
        1761,     116.948,     199.075,     268.761,     302.624,     360.333,      121007,      118274,     50003.2,     40000.7,      156.66,     142.643,     234.213,     48.4095,     290.838,     323.432,      234982,     25000.7,     37995.1,     11000.4,     218.171,
        1781,     116.942,     199.048,      268.78,     302.651,     360.313,      121001,      118274,     50003.7,       40001,      156.66,     142.643,     234.213,     48.4095,     290.838,     323.432,      235007,     25000.5,       37995,     11000.3,     218.174,
        1801,     116.935,      199.02,     268.798,     302.678,     360.294,      120994,      118274,     50004.2,     40001.2,      156.66,     142.643,     234.213,     48.4095,     290.787,     323.371,      235030,     25000.4,     37994.9,     11000.2,     218.176,
        1821,     116.929,     198.993,     268.817,     302.705,     360.273,      120985,      118274,     50004.6,     40001.5,      156.65,     142.595,     234.144,     48.3714,     290.787,     323.371,      235051,     25000.3,     37994.7,     11000.2,     218.177,
        1841,     116.922,     198.966,     268.836,     302.733,     360.251,      120976,      118274,       50005,     40001.7,      156.65,     142.595,     234.144,     48.3714,     290.787,     323.371,      235071,     25000.1,     37994.6,     11000.1,     218.178,
        1861,     116.916,     198.938,     268.855,     302.762,      360.23,      120966,      118274,     50005.4,       40002,      156.65,     142.595,     234.144,     48.3714,     290.753,      323.32,      235090,       25000,     37994.5,       11000,     218.178,
        1881,     116.909,      198.91,     268.874,      302.79,      360.21,      120954,      118274,     50005.9,     40002.2,     156.639,     142.547,     234.078,     48.3333,     290.753,      323.32,      235107,     24999.9,     37994.4,       11000,     218.178,
        1901,     116.902,     198.883,     268.894,     302.819,     360.187,      120942,      118274,     50006.2,     40002.4,     156.639,     142.547,     234.078,     48.3333,     290.753,      323.32,      235123,     24999.8,     37994.4,     10999.9,     218.176,
        1921,     116.896,     198.855,     268.914,     302.849,     360.162,      120929,      118274,     50006.6,     40002.6,     156.639,     142.547,     234.078,     48.3333,     290.734,     323.282,      235137,     24999.7,     37994.3,     10999.9,     218.175,
        1941,     116.889,     198.828,     268.934,     302.878,     360.138,      120916,      118274,       50007,     40002.8,     156.627,     142.497,     234.015,     48.2951,     290.734,     323.282,      235150,     24999.6,     37994.3,     10999.8,     218.172,
        1961,     116.882,       198.8,     268.955,     302.909,     360.116,      120901,      118274,     50007.3,     40002.9,     156.627,     142.497,     234.015,     48.2951,     290.734,     323.282,      235161,     24999.5,     37994.2,     10999.8,     218.169,
        1981,     116.876,     198.773,     268.976,     302.939,     360.093,      120886,      118274,     50007.6,     40003.1,     156.627,     142.497,     234.015,     48.2951,     290.731,     323.255,      235172,     24999.4,     37994.2,     10999.8,     218.166,
        2001,     116.869,     198.746,     268.997,      302.97,     360.072,      120871,      118274,     50007.9,     40003.2,     156.614,     142.447,     233.954,     48.2571,     290.731,     323.255,      235181,     24999.4,     37994.2,     10999.7,     218.162,
        2021,     116.863,     198.719,     269.019,     303.002,     360.048,      120855,      118274,     50008.2,     40003.4,     156.614,     142.447,     233.954,     48.2571,     290.731,     323.255,      235189,     24999.3,     37994.2,     10999.7,     218.158,
        2041,     116.857,     198.692,     269.041,     303.034,     360.026,      120838,      118274,     50008.5,     40003.5,     156.614,     142.447,     233.954,     48.2571,     290.743,     323.242,      235195,     24999.2,     37994.2,     10999.7,     218.154,
        2061,      116.85,     198.665,     269.063,     303.067,     360.003,      120822,      118274,     50008.8,     40003.6,       156.6,     142.397,     233.896,     48.2196,     290.743,     323.242,      235201,     24999.2,     37994.2,     10999.6,     218.149,
        2081,     116.844,     198.639,     269.086,       303.1,     359.981,      120804,      118274,       50009,     40003.7,       156.6,     142.397,     233.896,     48.2196,     290.743,     323.242,      235206,     24999.1,     37994.3,     10999.6,     218.144,
        2101,     116.838,     198.613,      269.11,     303.133,     359.957,      120787,      118274,     50009.2,     40003.7,       156.6,     142.397,     233.896,     48.2196,      290.77,     323.242,      235209,     24999.1,     37994.3,     10999.6,     218.139,
