StripChart:,HMI,
Date:, Thu Mar 09 20:00:43 2023
,
Number of Data Variables =, 26,
Max Number of Data Points =, 10000,
Number of Data Points =, 2807,
Time Interval,         1, to ,     56121,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,FIC-100 - SP,FIC-100 - PV,FIC-102 - SP,FIC-102 - PV,FIC-101 - PV,FIC-101 - SP,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],
        1061,     116.263,       208.6,     281.088,      317.12,     359.347,     84895.5,      119848,     49985.2,     39992.8,     174.113,     162.277,     260.636,     64.8452,     323.518,     364.867,      235121,     25017.5,     38025.9,     10007.7,     165.715,       42850,     42872.1,       83256,     83298.3,      108950,      108894,
        1081,     116.274,     208.587,     281.059,     317.097,     359.364,       85000,      119846,     49985.4,     39992.9,     174.113,     162.277,     260.636,     64.8452,     323.431,     364.839,      235140,     25016.8,     38024.9,     10007.4,     165.775,       42850,     42875.5,       83256,     83305.1,      108959,      108894,
        1101,     116.284,     208.572,     281.029,     317.074,     359.376,     85101.8,      119844,     49985.7,       39993,     174.115,     162.207,     260.587,     64.7935,     323.431,     364.839,      235156,     25016.2,       38024,     10007.1,     165.833,       42850,     42878.5,       83256,     83311.2,      108966,      108894,
        1121,     116.294,     208.557,     280.998,     317.049,      359.39,     85201.2,      119843,     49985.9,     39993.1,     174.115,     162.207,     260.587,     64.7935,     323.431,     364.839,      235171,     25015.6,       38023,     10006.8,     165.889,       42850,     42881.2,       83256,     83316.6,      108973,      108894,
        1141,     116.303,      208.54,     280.967,     317.023,     359.401,     85298.4,      119841,     49986.2,     39993.2,     174.115,     162.207,     260.587,     64.7935,     323.644,     364.804,      235184,     25014.9,     38022.2,     10006.5,     165.943,       42850,     42883.5,       83256,     83321.3,      108979,      108894,
        1161,     116.311,     208.522,     280.936,     316.997,     359.413,     85393.2,      119840,     49986.5,     39993.3,     174.113,     162.132,     260.534,     64.7369,     323.644,     364.804,      235195,     25014.4,     38021.3,     10006.3,     165.995,       42850,     42885.5,       83256,     83325.4,      108984,      108894,
        1181,     116.319,     208.504,     280.904,      316.97,     359.424,     85485.8,      119839,     49986.8,     39993.4,     174.113,     162.132,     260.534,     64.7369,     323.644,     364.804,      235204,     25013.9,     38020.5,       10006,     166.046,       42850,     42887.2,       83256,     83328.8,      108988,      108894,
        1201,     116.326,     208.485,     280.872,     316.942,     359.432,     85576.5,      119838,       49987,     39993.5,     174.113,     162.132,     260.534,     64.7369,     323.549,     364.761,      235212,     25013.3,     38019.8,     10005.1,     166.095,       42850,     42888.6,       83256,     83331.7,      108992,      108894,
        1221,     116.332,     208.465,      280.84,     316.913,     359.441,       85665,      119837,     49987.3,     39993.6,     174.109,     162.049,     260.476,     64.6764,     323.549,     364.761,      235218,     25012.9,     38019.1,     10005.6,     166.142,       42850,     42889.7,       83256,       83334,      108995,      108894,
        1241,     116.338,     208.444,     280.808,     316.884,     359.447,     85751.7,      119836,     49987.6,     39993.7,     174.109,     162.049,     260.476,     64.6764,     323.549,     364.761,      235223,     25012.4,     38018.4,     10005.3,     166.188,       42850,     42890.6,       83256,     83335.8,      108997,      108894,
