序号,一反温度,二反温度,重量空速,反应压力,剂油比,汽油收率,柴油收率,液化气收率,油浆收率,丙烯收率,干气收率,焦炭收率
36,514.94 ,505.70 ,31.98 ,169.06 ,5.00 ,36.21,22.95,14.42,5.6,7.03,4.75,9.04
37,515.10 ,505.72 ,32.08 ,169.69 ,5.01 ,38.79,23.37,13.82,5.05,6.7,4.59,7.68
38,514.71 ,505.54 ,32.57 ,169.54 ,5.00 ,40.16,25.11,13.37,5.1,7.02,4.69,4.55
39,514.88 ,505.63 ,33.00 ,170.74 ,4.97 ,35.82,23.11,14.41,5.21,7.3,5.08,9.07
40,514.90 ,505.59 ,33.26 ,170.96 ,4.98 ,36.79,22.03,14.75,5.4,7.6,5.11,8.32
41,514.89 ,505.57 ,33.21 ,171.14 ,5.04 ,37.97,20.28,15.21,5.57,6.91,4.62,9.44
42,514.85 ,505.55 ,32.30 ,170.64 ,5.05 ,36.89,25.603,13.77,5.51,7.2,4.89,6.137
43,514.49 ,505.54 ,32.61 ,170.31 ,5.03 ,38.43,22.38,14.47,5.14,7.01,4.58,7.99
44,515.01 ,505.66 ,33.27 ,170.30 ,5.06 ,35.29,26.83,13.92,5.4,7.2,4.8,6.56
45,515.47 ,506.07 ,33.12 ,171.29 ,5.07 ,37.08,23.62,14.42,5.64,7.16,4.79,7.29
46,515.12 ,506.44 ,32.79 ,172.27 ,5.07 ,35.93,24.69,14.32,5.42,7.26,4.91,7.47
47,515.25 ,506.02 ,33.25 ,171.74 ,5.05 ,36.89,23.32,14.61,5.29,7,4.92,7.97
48,514.24 ,505.91 ,33.02 ,171.16 ,5.05 ,35.82,25.04,14.08,5.61,7.27,4.85,7.33
49,514.20 ,505.24 ,32.89 ,171.10 ,5.05 ,36.47,24.64,14.54,5.41,7.34,4.83,6.77
50,514.23 ,505.98 ,32.66 ,170.51 ,5.11 ,37.41,22.21,14.74,5.07,7.5,5.06,8.01
51,514.01 ,505.89 ,33.01 ,170.64 ,5.18 ,38.04,21.1,15.04,5.58,7.21,4.82,8.21
52,513.99 ,505.82 ,31.96 ,170.72 ,5.16 ,39.47,24.43,13.9,5.85,6.8,4.9,4.65
53,514.21 ,506.16 ,32.15 ,170.64 ,5.15 ,39.64,22.5,13.33,5.08,6.51,4.68,8.26
54,513.90 ,506.44 ,32.33 ,171.59 ,5.15 ,41.49,22.85,13.04,5.57,6.81,5.1,5.14
55,513.70 ,506.30 ,31.71 ,171.26 ,5.14 ,38.91,24.67,13.63,5.28,6.6,5.12,5.79
56,513.26 ,505.61 ,31.80 ,170.64 ,5.11 ,37.33,23.74,13.07,5.26,5.95,5.68,8.97
57,513.22 ,505.22 ,31.63 ,168.86 ,5.11 ,36.24,23.04,14.88,5.69,6.64,5.73,7.78
58,513.44 ,505.01 ,31.28 ,169.00 ,5.09 ,36.07,22.4,14.58,4.25,7.43,5.19,10.08
59,513.56 ,505.36 ,31.88 ,169.29 ,5.06 ,36.76,21.9,15.77,4.5,7.87,5.17,8.03
60,512.98 ,505.22 ,32.22 ,168.51 ,5.08 ,36.38,22.45,15.61,4.73,7.76,5.1,7.97
61,513.39 ,504.69 ,32.11 ,168.63 ,5.15 ,36.69,23.43,14.92,4.91,7.38,4.85,7.82
62,513.92 ,505.06 ,31.79 ,168.76 ,5.13 ,37.85,22.32,14.38,4.58,7.17,5.28,8.42
63,514.20 ,505.53 ,32.46 ,169.99 ,5.08 ,38.62,20.42,15.25,4.69,7.59,4.97,8.46
64,514.36 ,505.77 ,32.35 ,170.86 ,5.12 ,37.17,22.77,15.06,4.62,7.5,4.91,7.97
65,513.76 ,505.95 ,32.02 ,171.94 ,5.10 ,38.17,22.45,14.73,4.6,7.35,5.15,7.55
66,513.62 ,505.54 ,31.43 ,172.29 ,5.13 ,36.69,23.02,15.18,4.15,7.58,5.02,8.36
67,512.88 ,505.24 ,31.81 ,172.42 ,5.09 ,37.89,22.86,14.25,4.26,7.14,5.01,8.59
68,512.92 ,504.85 ,32.18 ,173.02 ,5.06 ,38.67,23.51,14.31,4.34,7.12,4.88,7.17
69,512.79 ,504.44 ,32.45 ,171.26 ,5.00 ,37.21,22.68,14.72,4.21,7.25,5.17,8.76
70,513.28 ,504.25 ,32.26 ,171.31 ,5.10 ,37.2,22.1,16.14,4.73,6.59,5.08,8.16
71,512.72 ,504.60 ,31.22 ,171.95 ,5.07 ,36.3,23.35,14.96,4.6,7.47,5.14,8.18
72,513.16 ,504.12 ,31.27 ,172.67 ,5.05 ,37.56,21.89,14.99,4.14,7.5,5.23,8.69
73,512.85 ,504.48 ,31.37 ,173.29 ,5.07 ,36.2,24.27,14.77,4.2,7.33,5.1,8.13
74,513.33 ,504.57 ,30.57 ,173.62 ,5.07 ,35.22,25.54,14.52,4.2,7,4.98,8.54
75,512.47 ,504.23 ,32.84 ,173.01 ,5.09 ,37,24.15,14.19,3.93,7.15,5.02,8.56
76,512.69 ,503.61 ,31.98 ,172.69 ,5.06 ,37.94,21.55,14.96,4.6,7.5,5.1,8.35
